1787203018.575503, Self-RAG Decomposed, pipeline, prepare, start, 50967796060875
1787203057.147689, Self-RAG Decomposed, Document retriever, run, end, 51006368185250
1787203057.147770, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51006368257708
1787203057.147820, Self-RAG Decomposed, Document retriever, run, start, 51006368311291
1787203057.167416, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51006387914166
1787203057.167519, Self-RAG Decomposed, Grader LLM, run, start, 51006388008875
1787203057.168008, Self-RAG Decomposed, Grader LLM, first_token, start, 51006388497958
1787203057.377679, Self-RAG Decomposed, Document retriever, run, end, 51006598183208
1787203057.377792, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51006598285208
1787203057.378267, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51006598757083
1787203058.182673, Self-RAG Decomposed, pipeline - val, run, start, 107167114706342899840102705199114197077, 1787203058.182397, 1, 3, 51007403179000
1787203058.183124, Self-RAG Decomposed, Question dataloader, run, start, 51007403617666
1787203058.183459, Self-RAG Decomposed, Question dataloader, run, end, 51007403952958
1787203058.183564, Self-RAG Decomposed, Document retriever, run, start, 51007404055000
1787203058.241757, Self-RAG Decomposed, Document retriever, run, end, 51007462262416
1787203058.241849, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51007462338958
1787203058.242237, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51007462729166
1787203062.617337, Self-RAG Decomposed, pipeline - val, run, start, 41591644592971830207574334521905736324, 1787203062.616949, 1, 4, 51011837987000
1787203062.617855, Self-RAG Decomposed, Question dataloader, run, start, 51011838363666
1787203062.619168, Self-RAG Decomposed, Question dataloader, run, end, 51011839670708
1787203062.619317, Self-RAG Decomposed, Document retriever, run, start, 51011839831541
1787203063.183295, Self-RAG Decomposed, Document retriever, run, end, 51012403815083
1787203063.183499, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51012404005208
1787203063.184509, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51012405012458
1787203069.787961, Self-RAG Decomposed, Grader LLM, first_token, end, 51019008639875
1787203069.845813, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 2, 51019066345375
1787203069.846410, Self-RAG Decomposed, Grader LLM, run, end, 51019066926000
1787203069.846849, Self-RAG Decomposed, Grade router, run, start, 51019067368916
1787203069.846900, Self-RAG Decomposed, Grader LLM, run, start, 51019067417291
1787203069.847724, Self-RAG Decomposed, Grade router, run, end, 51019068237875
1787203069.848322, Self-RAG Decomposed, Grader LLM, first_token, start, 51019068841041
1787203069.848390, Self-RAG Decomposed, Answer generator formatter, run, start, 51019068905916
1787203069.853776, Self-RAG Decomposed, Answer generator formatter, run, end, 51019074290708
1787203069.853904, Self-RAG Decomposed, Generator LLM, run, start, 51019074777750
1787203069.854637, Self-RAG Decomposed, Generator LLM, first_token, start, 51019075151500
1787203076.111047, Self-RAG Decomposed, Generator LLM, first_token, end, 51025331800125
1787203076.324219, Self-RAG Decomposed, Generator LLM, n_generated_tokens, 2, 51025544764166
1787203076.325815, Self-RAG Decomposed, Generator LLM, run, end, 51025546353875
1787203076.326822, Self-RAG Decomposed, Hallucination grader formatter, run, start, 51025547363083
1787203076.333170, Self-RAG Decomposed, Hallucination grader formatter, run, end, 51025553699791
1787203076.334025, Self-RAG Decomposed, Hallucination LLM, run, start, 51025554559125
1787203076.334415, Self-RAG Decomposed, Hallucination LLM, first_token, start, 51025554942458
1787203076.638448, Self-RAG Decomposed, Grader LLM, first_token, end, 51025858995541
1787203076.778801, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 2, 51025999345250
1787203076.779423, Self-RAG Decomposed, Grader LLM, run, end, 51025999966416
1787203076.779611, Self-RAG Decomposed, Grader LLM, run, start, 51026000147708
1787203076.779699, Self-RAG Decomposed, Grade router, run, start, 51026000236375
1787203076.779793, Self-RAG Decomposed, Grader LLM, first_token, start, 51026000322416
1787203076.780237, Self-RAG Decomposed, Grade router, run, end, 51026000769000
1787203076.780347, Self-RAG Decomposed, Answer generator formatter, run, start, 51026000876625
1787203076.780726, Self-RAG Decomposed, Answer generator formatter, run, end, 51026001260916
1787203076.780877, Self-RAG Decomposed, Generator LLM, run, start, 51026001411166
1787203076.780993, Self-RAG Decomposed, Generator LLM, first_token, start, 51026001522083
1787203084.613856, Self-RAG Decomposed, pipeline - val, run, start, 168543076697898122432837088430365814656, 1787203084.607820, 1, 5, 51033835039541
1787203084.621802, Self-RAG Decomposed, Question dataloader, run, start, 51033842580416
1787203084.647206, Self-RAG Decomposed, Question dataloader, run, end, 51033867761208
1787203084.648078, Self-RAG Decomposed, Document retriever, run, start, 51033868635083
1787203087.244561, Self-RAG Decomposed, pipeline - val, run, start, 239112240933418514616990596144550506090, 1787203087.243230, 1, 6, 51036465291666
1787203087.245866, Self-RAG Decomposed, Question dataloader, run, start, 51036466428791
1787203087.247452, Self-RAG Decomposed, Question dataloader, run, end, 51036468014791
1787203096.567864, Self-RAG Decomposed, Grader LLM, first_token, end, 51045788977416
1787203096.570558, Self-RAG Decomposed, Hallucination LLM, first_token, end, 51045791512125
1787203096.832349, Self-RAG Decomposed, Generator LLM, first_token, end, 51046052937833
1787203096.832658, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 2, 51046053234833
1787203096.832974, Self-RAG Decomposed, Hallucination LLM, n_generated_tokens, 2, 51046053547000
1787203096.842055, Self-RAG Decomposed, Grader LLM, run, end, 51046062634083
1787203096.843292, Self-RAG Decomposed, Grade router, run, start, 51046063873291
1787203096.845696, Self-RAG Decomposed, Hallucination LLM, run, end, 51046066271000
1787203096.847060, Self-RAG Decomposed, Hallucination router, run, start, 51046067636208
1787203096.847374, Self-RAG Decomposed, Grader LLM, run, start, 51046067946625
1787203096.852502, Self-RAG Decomposed, Grade router, run, end, 51046073087541
1787203096.853196, Self-RAG Decomposed, Query rewrite formatter, run, start, 51046073768791
1787203096.947099, Self-RAG Decomposed, Hallucination router, run, end, 51046167687000
1787203096.947602, Self-RAG Decomposed, Generator LLM, n_generated_tokens, 2, 51046168178041
1787203096.949582, Self-RAG Decomposed, End stage, run, start, 51046170156000
1787203096.950713, Self-RAG Decomposed, Grader LLM, first_token, start, 51046171285083
1787203096.958078, Self-RAG Decomposed, Generator LLM, run, end, 51046178651250
1787203096.965875, Self-RAG Decomposed, Hallucination grader formatter, run, start, 51046186447291
1787203096.966894, Self-RAG Decomposed, Query rewrite formatter, run, end, 51046187464666
1787203096.966978, Self-RAG Decomposed, Query rewrite LLM, run, start, 51046187551333
1787203096.986484, Self-RAG Decomposed, Hallucination grader formatter, run, end, 51046207057375
1787203096.986554, Self-RAG Decomposed, Hallucination LLM, run, start, 51046207127166
1787203096.986691, Self-RAG Decomposed, Hallucination LLM, first_token, start, 51046207264250
1787203097.024902, Self-RAG Decomposed, End stage, run, end, 51046245486166
1787203097.025485, Self-RAG Decomposed, pipeline - val, run, end, 57732949380992420274915858067064146609, 1787203054.502158, 1, 1, 51046246502750
1787203098.093392, Self-RAG Decomposed, Document retriever, run, end, 51047314098291
1787203098.094206, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51047315103166
1787203098.094694, Self-RAG Decomposed, Document retriever, run, start, 51047315267791
1787203098.096968, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51047317544458
1787203113.574544, Self-RAG Decomposed, pipeline - val, run, start, 231652447949056967801725023625652339848, 1787203113.559480, 1, 7, 51062798483916
1787203113.586612, Self-RAG Decomposed, Question dataloader, run, start, 51062807278125
1787203113.623625, Self-RAG Decomposed, Question dataloader, run, end, 51062844251333
1787203134.924169, Self-RAG Decomposed, pipeline - val, run, start, 242882919341543156719222624362557425735, 1787203134.919184, 1, 8, 51084146667333
1787203134.932476, Self-RAG Decomposed, Question dataloader, run, start, 51084153697250
1787203134.971972, Self-RAG Decomposed, Question dataloader, run, end, 51084192647708
1787203158.547816, Self-RAG Decomposed, pipeline - val, run, start, 130030644598851803648478343582392138675, 1787203158.542303, 1, 9, 51107770344916
1787203158.562520, Self-RAG Decomposed, Question dataloader, run, start, 51107783246666
1787203158.602380, Self-RAG Decomposed, Question dataloader, run, end, 51107823094916
1787203162.163500, Self-RAG Decomposed, pipeline - val, run, start, 69271847384616941440417218440691792224, 1787203162.162314, 1, 10, 51111384532750
1787203162.166923, Self-RAG Decomposed, Question dataloader, run, start, 51111387651791
1787203162.184028, Self-RAG Decomposed, Question dataloader, run, end, 51111404740541
1787203163.718340, Self-RAG Decomposed, pipeline - val, run, start, 115247546737377074599316555409402119737, 1787203163.717722, 1, 11, 51112939203791
1787203163.719212, Self-RAG Decomposed, Question dataloader, run, start, 51112939948375
1787203163.722761, Self-RAG Decomposed, Question dataloader, run, end, 51112943478416
1787203200.751800, Self-RAG Decomposed, pipeline - val, run, start, 40060502151447566577173635885060698813, 1787203200.741197, 1, 12, 51149974872333
1787203200.759781, Self-RAG Decomposed, Question dataloader, run, start, 51149981332083
1787203200.788264, Self-RAG Decomposed, Question dataloader, run, end, 51150009060041
1787203226.454242, Self-RAG Decomposed, pipeline - val, run, start, 330985734749310152088599196690531791279, 1787203226.446310, 1, 13, 51175677640375
1787203226.462561, Self-RAG Decomposed, Question dataloader, run, start, 51175683714333
1787203226.495341, Self-RAG Decomposed, Question dataloader, run, end, 51175716190666
1787203242.811416, Self-RAG Decomposed, pipeline - val, run, start, 326067621300658386473005385044951564115, 1787203242.810973, 1, 14, 51192032311916
1787203242.811860, Self-RAG Decomposed, Question dataloader, run, start, 51192032743833
1787203242.816117, Self-RAG Decomposed, Question dataloader, run, end, 51192036998750
1787203249.082529, Self-RAG Decomposed, pipeline - val, run, start, 64969279129450262605181321198141734639, 1787203249.080335, 1, 15, 51198303497958
1787203249.084002, Self-RAG Decomposed, Question dataloader, run, start, 51198304904083
1787203249.087984, Self-RAG Decomposed, Question dataloader, run, end, 51198308878625
1787203253.896506, Self-RAG Decomposed, pipeline - val, run, start, 2889701841514158059875084908794782138, 1787203253.895516, 1, 16, 51203117443458
1787203253.899027, Self-RAG Decomposed, Question dataloader, run, start, 51203119935666
1787203253.902740, Self-RAG Decomposed, Question dataloader, run, end, 51203123644666
1787203259.200515, Self-RAG Decomposed, pipeline - val, run, start, 240116802338782415052769327669678421931, 1787203259.197482, 1, 17, 51208422883625
1787203259.218469, Self-RAG Decomposed, Question dataloader, run, start, 51208443532125
1787203259.268002, Self-RAG Decomposed, Question dataloader, run, end, 51208488931583
1787203260.426743, Self-RAG Decomposed, pipeline - val, run, start, 25526557360139597292966261875663134977, 1787203260.426636, 1, 18, 51209647676625
1787203260.426962, Self-RAG Decomposed, Question dataloader, run, start, 51209647879583
1787203260.427641, Self-RAG Decomposed, Question dataloader, run, end, 51209648559583
1787203263.203458, Self-RAG Decomposed, pipeline - val, run, start, 283700777963371711691969272440727380277, 1787203263.202489, 1, 19, 51212424578791
1787203263.204661, Self-RAG Decomposed, Question dataloader, run, start, 51212425602583
1787203263.206916, Self-RAG Decomposed, Question dataloader, run, end, 51212427854541
1787203282.258945, Self-RAG Decomposed, pipeline - val, run, start, 300588004722684212210975335719127943671, 1787203282.256524, 1, 20, 51231481502916
1787203282.264795, Self-RAG Decomposed, Question dataloader, run, start, 51231485767041
1787203282.289469, Self-RAG Decomposed, Question dataloader, run, end, 51231510435083
1787203284.515885, Self-RAG Decomposed, Hallucination LLM, first_token, end, 51233737278958
1787203284.582209, Self-RAG Decomposed, Grader LLM, first_token, end, 51233803198916
1787203284.872045, Self-RAG Decomposed, Hallucination LLM, n_generated_tokens, 2, 51234093029000
1787203284.885033, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 2, 51234106011166
1787203284.886904, Self-RAG Decomposed, Hallucination LLM, run, end, 51234107873208
1787203284.895187, Self-RAG Decomposed, Hallucination router, run, start, 51234116156625
1787203284.896840, Self-RAG Decomposed, Grader LLM, run, end, 51234117807958
1787203284.897341, Self-RAG Decomposed, Query rewrite LLM, first_token, start, 51234118306750
1787203284.897935, Self-RAG Decomposed, Grade router, run, start, 51234118908416
1787203284.900251, Self-RAG Decomposed, Grader LLM, run, start, 51234121216958
1787203284.908699, Self-RAG Decomposed, Hallucination router, run, end, 51234129706000
1787203284.965507, Self-RAG Decomposed, End stage, run, start, 51234186479916
1787203284.965889, Self-RAG Decomposed, Grade router, run, end, 51234186857333
1787203284.966847, Self-RAG Decomposed, Answer generator formatter, run, start, 51234188152916
1787203284.982950, Self-RAG Decomposed, Answer generator formatter, run, end, 51234203919416
1787203284.983356, Self-RAG Decomposed, Generator LLM, run, start, 51234204322125
1787203284.987973, Self-RAG Decomposed, Generator LLM, first_token, start, 51234208938291
1787203284.988465, Self-RAG Decomposed, End stage, run, end, 51234209433000
1787203284.988536, Self-RAG Decomposed, pipeline - val, run, end, 29835674556864888573549025871136921833, 1787203057.136232, 1, 2, 51234209501666
1787203285.002238, Self-RAG Decomposed, Document retriever, run, end, 51234223508791
1787203285.002874, Self-RAG Decomposed, Document retriever, run, start, 51234223839708
1787203285.011408, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51234232382333
1787203285.026541, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51234247509625
1787203302.215187, Self-RAG Decomposed, pipeline - val, run, start, 255538460195410651297579918786082195322, 1787203302.207144, 1, 21, 51251441320125
1787203302.229397, Self-RAG Decomposed, Question dataloader, run, start, 51251450432250
1787203302.260609, Self-RAG Decomposed, Question dataloader, run, end, 51251481618916
1787203305.307042, Self-RAG Decomposed, Generator LLM, first_token, end, 51254528477083
1787203305.311133, Self-RAG Decomposed, Document retriever, run, end, 51254532152375
1787203305.318920, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51254540482958
1787203305.322231, Self-RAG Decomposed, Document retriever, run, start, 51254543241041
1787203305.338405, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51254559423750
1787203305.521377, Self-RAG Decomposed, Generator LLM, n_generated_tokens, 4, 51254742403333
1787203305.522991, Self-RAG Decomposed, Generator LLM, run, end, 51254744008791
1787203305.523693, Self-RAG Decomposed, Hallucination grader formatter, run, start, 51254744712000
1787203305.526512, Self-RAG Decomposed, Hallucination grader formatter, run, end, 51254747525541
1787203305.526615, Self-RAG Decomposed, Hallucination LLM, run, start, 51254747626666
1787203305.526706, Self-RAG Decomposed, Hallucination LLM, first_token, start, 51254747714625
1787203305.530709, Self-RAG Decomposed, Query rewrite LLM, first_token, end, 51254751721708
1787203305.616870, Self-RAG Decomposed, Document retriever, run, end, 51254837901958
1787203305.617000, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51254838013291
1787203305.617068, Self-RAG Decomposed, Document retriever, run, start, 51254838080375
1787203305.621628, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51254842643541
1787203306.357736, Self-RAG Decomposed, Document retriever, run, end, 51255578767083
1787203306.357850, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51255578863416
1787203306.357914, Self-RAG Decomposed, Document retriever, run, start, 51255578930791
1787203306.358463, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51255579476625
1787203306.517904, Self-RAG Decomposed, Document retriever, run, end, 51255738945125
1787203306.518021, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51255739039208
1787203306.518093, Self-RAG Decomposed, Document retriever, run, start, 51255739107791
1787203306.518519, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51255739533708
1787203306.668961, Self-RAG Decomposed, Document retriever, run, end, 51255889988458
1787203306.669149, Self-RAG Decomposed, Document retriever, run, start, 51255890169291
1787203306.669215, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51255890231375
1787203306.672852, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51255893870333
1787203306.835920, Self-RAG Decomposed, Document retriever, run, end, 51256056972750
1787203306.836121, Self-RAG Decomposed, Document retriever, run, start, 51256057139041
1787203306.836182, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51256057201500
1787203306.838300, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51256059316500
1787203306.912256, Self-RAG Decomposed, Document retriever, run, end, 51256133282416
1787203306.912352, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51256133366833
1787203306.912418, Self-RAG Decomposed, Document retriever, run, start, 51256133435875
1787203306.912812, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51256133827416
1787203307.560848, Self-RAG Decomposed, pipeline - val, run, start, 265853059314513010661824927871999490968, 1787203307.560655, 1, 22, 51256781882000
1787203307.563873, Self-RAG Decomposed, Question dataloader, run, start, 51256784894791
1787203307.565328, Self-RAG Decomposed, Question dataloader, run, end, 51256786343166
1787203309.797102, Self-RAG Decomposed, pipeline - val, run, start, 285062480274580991830200532641713834986, 1787203309.796700, 1, 23, 51259018255083
1787203309.797655, Self-RAG Decomposed, Question dataloader, run, start, 51259018691750
1787203309.799160, Self-RAG Decomposed, Question dataloader, run, end, 51259020182208
1787203312.622948, Self-RAG Decomposed, pipeline - val, run, start, 179714095391325997956203173449573188413, 1787203312.622319, 1, 24, 51261844180666
1787203312.624245, Self-RAG Decomposed, Question dataloader, run, start, 51261845339791
1787203312.626885, Self-RAG Decomposed, Question dataloader, run, end, 51261847914083
1787203315.441738, Self-RAG Decomposed, Document retriever, run, end, 51264662922750
1787203315.442101, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51264663143125
1787203315.442260, Self-RAG Decomposed, Document retriever, run, start, 51264663293333
1787203315.451127, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51264672167625
1787203315.452512, Self-RAG Decomposed, Hallucination LLM, first_token, end, 51264673563166
1787203315.517735, Self-RAG Decomposed, Hallucination LLM, n_generated_tokens, 2, 51264738790458
1787203315.525245, Self-RAG Decomposed, Hallucination LLM, run, end, 51264746292083
1787203315.528218, Self-RAG Decomposed, Hallucination router, run, start, 51264749263541
1787203315.528961, Self-RAG Decomposed, Hallucination router, run, end, 51264749994208
1787203315.530518, Self-RAG Decomposed, End stage, run, start, 51264751552500
1787203315.541220, Self-RAG Decomposed, End stage, run, end, 51264762269291
1787203315.541316, Self-RAG Decomposed, pipeline - val, run, end, 41591644592971830207574334521905736324, 1787203062.616949, 1, 4, 51264762346708
1787203315.640475, Self-RAG Decomposed, Document retriever, run, end, 51264861521750
1787203315.640944, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51264861979000
1787203315.640996, Self-RAG Decomposed, Document retriever, run, start, 51264862027083
1787203315.641401, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51264862432291
1787203315.665806, Self-RAG Decomposed, Document retriever, run, end, 51264886855291
1787203315.665908, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51264886940500
1787203315.665961, Self-RAG Decomposed, Document retriever, run, start, 51264886990083
1787203315.666495, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51264887528333
1787203315.759038, Self-RAG Decomposed, Document retriever, run, end, 51264980093291
1787203315.759402, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51264980437083
1787203315.759457, Self-RAG Decomposed, Document retriever, run, start, 51264980490541
1787203315.762153, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51264983188125
1787203315.785763, Self-RAG Decomposed, Document retriever, run, end, 51265006819041
1787203315.785887, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51265006918583
1787203315.785935, Self-RAG Decomposed, Document retriever, run, start, 51265006969000
1787203315.786290, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51265007323291
1787203315.874300, Self-RAG Decomposed, Query rewrite LLM, n_generated_tokens, 27, 51265095347791
1787203315.875118, Self-RAG Decomposed, Query rewrite LLM, run, end, 51265096152750
1787203315.875585, Self-RAG Decomposed, Grader LLM, first_token, start, 51265096620625
1787203315.901361, Self-RAG Decomposed, Document retriever, run, end, 51265122398333
1787203315.901423, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51265122453791
1787203315.901462, Self-RAG Decomposed, Document retriever, run, start, 51265122496166
1787203315.903613, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51265124645500
1787203315.972169, Self-RAG Decomposed, Document retriever, run, end, 51265193211583
1787203315.972253, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51265193285416
1787203315.972299, Self-RAG Decomposed, Document retriever, run, start, 51265193333125
1787203315.974163, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51265195195125
1787203316.227268, Self-RAG Decomposed, Document retriever, run, end, 51265448319000
1787203316.227378, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51265448410416
1787203316.227425, Self-RAG Decomposed, Document retriever, run, start, 51265448459333
1787203316.228068, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51265449107250
1787203316.247844, Self-RAG Decomposed, Document retriever, run, end, 51265468891833
1787203316.247976, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51265469010958
1787203316.248042, Self-RAG Decomposed, Document retriever, run, start, 51265469074833
1787203316.249289, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51265470329333
1787203316.265467, Self-RAG Decomposed, Document retriever, run, end, 51265486511083
1787203316.265560, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51265486594875
1787203316.265633, Self-RAG Decomposed, Document retriever, run, start, 51265486664000
1787203316.270481, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51265491521791
1787203316.286589, Self-RAG Decomposed, Document retriever, run, end, 51265507631333
1787203316.286665, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51265507697541
1787203316.286710, Self-RAG Decomposed, Document retriever, run, start, 51265507743708
1787203316.286990, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51265508022333
1787203316.303889, Self-RAG Decomposed, Document retriever, run, end, 51265524931125
1787203316.304030, Self-RAG Decomposed, Retrieval grader formatter, run, start, 51265525065583
1787203316.304440, Self-RAG Decomposed, Retrieval grader formatter, run, end, 51265525477791
1787203318.713261, Self-RAG Decomposed, Grader LLM, first_token, end, 51267934566791
1787203318.760684, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 2, 51267981746666
1787203318.761670, Self-RAG Decomposed, Grader LLM, run, end, 51267982713583
1787203318.762809, Self-RAG Decomposed, Grade router, run, start, 51267983857583
1787203318.762882, Self-RAG Decomposed, Grader LLM, run, start, 51267983923333
1787203318.764274, Self-RAG Decomposed, Grader LLM, first_token, start, 51267985315333
1787203318.764337, Self-RAG Decomposed, Grade router, run, end, 51267985376166
1787203318.767271, Self-RAG Decomposed, Answer generator formatter, run, start, 51267988316583
1787203318.768646, Self-RAG Decomposed, Answer generator formatter, run, end, 51267989684666
1787203318.768734, Self-RAG Decomposed, Generator LLM, run, start, 51267989771375
1787203318.768858, Self-RAG Decomposed, Generator LLM, first_token, start, 51267989898000
1787203321.603021, Self-RAG Decomposed, Grader LLM, first_token, end, 51270824227500
1787203321.729645, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 2, 51270950709000
1787203321.730830, Self-RAG Decomposed, Grader LLM, run, end, 51270951879625
1787203321.730998, Self-RAG Decomposed, Grade router, run, start, 51270952050875
1787203321.731072, Self-RAG Decomposed, Grader LLM, run, start, 51270952119083
1787203321.732417, Self-RAG Decomposed, Grade router, run, end, 51270953460708
1787203321.732765, Self-RAG Decomposed, Grader LLM, first_token, start, 51270953807583
1787203321.733474, Self-RAG Decomposed, Query rewrite formatter, run, start, 51270954520000
1787203321.740687, Self-RAG Decomposed, Query rewrite formatter, run, end, 51270961732666
1787203321.741179, Self-RAG Decomposed, Query rewrite LLM, run, start, 51270962225041
1787203322.365382, Self-RAG Decomposed, Generator LLM, first_token, end, 51271586555625
1787203322.938045, Self-RAG Decomposed, Generator LLM, n_generated_tokens, 5, 51272159122833
1787203322.939096, Self-RAG Decomposed, Generator LLM, run, end, 51272160143416
1787203322.939676, Self-RAG Decomposed, Hallucination grader formatter, run, start, 51272160728458
1787203322.944760, Self-RAG Decomposed, Hallucination grader formatter, run, end, 51272165811000
1787203322.944873, Self-RAG Decomposed, Hallucination LLM, run, start, 51272165924708
1787203322.944965, Self-RAG Decomposed, Hallucination LLM, first_token, start, 51272166011250
1787203323.315453, Self-RAG Decomposed, Grader LLM, first_token, end, 51272536853166
1787203323.855217, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 2, 51273076280375
1787203323.855608, Self-RAG Decomposed, Grader LLM, run, end, 51273076658416
1787203323.855653, Self-RAG Decomposed, Query rewrite LLM, first_token, start, 51273076703791
1787203323.855738, Self-RAG Decomposed, Grade router, run, start, 51273076790500
1787203323.855783, Self-RAG Decomposed, Grader LLM, run, start, 51273076829708
1787203323.856275, Self-RAG Decomposed, Grade router, run, end, 51273077324875
1787203323.856350, Self-RAG Decomposed, Query rewrite formatter, run, start, 51273077404000
1787203323.856973, Self-RAG Decomposed, Query rewrite formatter, run, end, 51273078021291
1787203326.275523, Self-RAG Decomposed, Query rewrite LLM, first_token, end, 51275496634083
1787203326.400484, Self-RAG Decomposed, Hallucination LLM, first_token, end, 51275621561250
1787203326.469582, Self-RAG Decomposed, Hallucination LLM, n_generated_tokens, 2, 51275690660416
1787203326.469958, Self-RAG Decomposed, Hallucination LLM, run, end, 51275691016166
1787203326.470382, Self-RAG Decomposed, Hallucination router, run, start, 51275691444541
1787203326.471471, Self-RAG Decomposed, Hallucination router, run, end, 51275692529791
1787203326.471789, Self-RAG Decomposed, End stage, run, start, 51275692845416
1787203326.476081, Self-RAG Decomposed, End stage, run, end, 51275697140208
